,Add t(n),Enum t(n),Del t(n),Add q(n),Del q(n),Enum q(n)
1000,1.7681999999012988e-05,0.0005593319999985624,1.0316000001466818e-05,1.022731216060679,0.9179569347880081,1.2471758701559343
2000,2.1717999998713822e-05,0.0010783380000043508,1.1632000000645349e-05,1.1416204464358957,0.9406696913493976,1.0925837358773167
3000,2.1967999994103594e-05,0.001754397999993671,1.3156000002254586e-05,1.0962814469857762,1.0100346142051493,1.1250357445840506
4000,2.322800000342795e-05,0.002422425999997131,1.7152000004898582e-05,1.1189540592748852,1.271147813687494,1.124653849601879
5000,2.4530000000595465e-05,0.0030969659999982467,1.4448000001721084e-05,1.1507159131938902,1.0426994675348618,1.120120927979198
6000,3.5914000000047964e-05,0.00396347200000946,1.841199998580123e-05,1.6494373275045533,1.300929776404556,1.1695653467001246
7000,3.583000000617176e-05,0.0045174860000133776,1.621000000341155e-05,1.6169283321012367,1.1254023704375613,1.1227178967078422
8000,3.636999998889223e-05,0.005207101999994848,1.5912000012576755e-05,1.6169110053597324,1.088299512317887,1.115518614610244
9000,2.261000001908542e-05,0.005393341999983932,1.5106000023479283e-05,0.9921758283026865,1.0198079863934695,1.0137513330731243
10000,2.3052000005918672e-05,0.005979718000035063,1.4983999953983584e-05,1.0,1.0,1.0
11000,2.1876000018892228e-05,0.006623147999980574,1.4198000008036615e-05,0.9392652268184442,0.9378391304656313,0.9965980006082089
12000,2.230599999165861e-05,0.007317279999997481,1.554800001940748e-05,0.9488554921299525,1.0174984550931843,0.9999417772840083
13000,2.5999999979831046e-05,0.00806725200002802,1.5419999954247032e-05,1.0966459034342417,1.0005949194684194,1.0090280786619288
14000,3.74959999226121e-05,0.00965621999999712,1.698600004601758e-05,1.5692553234648996,1.093655748135333,1.1127963558414447
15000,4.262999997081351e-05,0.011003532000067935,1.942399991094135e-05,1.7713187998650648,1.2416549238014059,1.1750332580949023
16000,3.959399995437707e-05,0.011459258000049885,1.8760000075417337e-05,1.6342016947837947,1.1912144749955595,1.1395691948519222
17000,4.387800005133613e-05,0.01263055000004897,1.87299999561219e-05,1.7997482042029092,1.1819076643083237,1.1748060469053865
18000,4.477599997699144e-05,0.013505198000002565,1.8383999904472148e-05,1.825867661271526,1.153306819751038,1.1794522448789657
19000,4.992799991669017e-05,0.014577101999930165,2.7737999971577665e-05,2.0247820007242106,1.7305736788407278,1.1994429662337733
